sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
RPL9_sg5,RPL9,1382,-1.6452,2.100169229519754e-37,3.131465053955896e-36,Ribosome
RPL10_sg1,RPL10,87,-3.6079,7.315285826315174e-60,1.6803872495364105e-58,Unassigned
RPL10_sg2,RPL10,10,-2.8468,3.831881076240101e-07,2.2461202088160028e-06,Ribosome
RPL10_sg3,RPL10,30,-3.616,1.1230893213626837e-26,1.3498669727916871e-25,Unassigned
RPL10_sg4,RPL10,71,-2.9128,1.961404001223635e-34,2.7419440837236275e-33,Ribosome
RPL11_sg1,RPL11,124,-4.2538,5.665489771491286e-104,2.861358470450144e-102,Unassigned
RPL11_sg2,RPL11,437,-4.367,4.884044829125927e-197,1.332012226125253e-194,Unassigned
RPL11_sg3,RPL11,65,-4.2075,1.530225151415975e-65,4.0269082931999345e-64,Unassigned
RPL11_sg4,RPL11,54,-3.0079,5.736831360127325e-30,7.399180602055878e-29,Unassigned
RPL11_sg5,RPL11,82,-3.4969,4.256891502091749e-54,8.831725108074168e-53,Unassigned
RPL12_sg1,RPL12,62,-4.0889,7.334347880201478e-60,1.6821898807801556e-58,Unassigned
RPL12_sg2,RPL12,144,-3.5472,1.1922091321064998e-79,4.0096719689680484e-78,Unassigned
RPL12_sg3,RPL12,135,-4.6132,2.143671465299884e-128,1.6574779370875393e-126,Unassigned
RPL12_sg4,RPL12,929,-3.9373,3.047203470980033e-193,8.018956502579034e-191,Unassigned
RPL12_sg5,RPL12,75,-4.3199,1.3885461009861627e-76,4.469568994590653e-75,Ribosome
RPL13_sg1,RPL13,193,-4.2108,8.663093991683216e-131,6.986366122325174e-129,Unassigned
RPL13_sg2,RPL13,146,-4.095,2.33479939073367e-106,1.2202784272127194e-104,Unassigned
RPL13_sg3,RPL13,1111,-4.0725,6.395091527851757e-213,2.283961259947056e-210,Unassigned
RPL13_sg4,RPL13,262,-4.2046,9.580348091171862e-151,1.140517629901412e-148,Ribosome
RPL13_sg5,RPL13,1597,-4.536,7.709764728956283e-277,6.424803940796903e-274,Unassigned
RPL14_sg1,RPL14,59,-2.6827,8.412503562459095e-26,9.820043069018399e-25,Unassigned
RPL14_sg2,RPL14,307,-2.5554,1.057501787385432e-60,2.474653168608655e-59,Ribosome
RPL14_sg3,RPL14,139,-1.4406,3.0868775650982936e-14,2.710958048973911e-13,Unassigned
RPL14_sg4,RPL14,53,-2.3839,3.678985317024965e-19,3.661896466846349e-18,Unassigned
RPL14_sg5,RPL14,298,-2.076,3.366494864124063e-40,5.406576334246354e-39,Ribosome
RPL14_sg6,RPL14,4444,-1.647,4.998777570019723e-41,8.123690525492508e-40,Ribosome
RPL15_sg1,RPL15,92,-2.9399,6.972615125793368e-42,1.1582417152480676e-40,Ribosome
RPL15_sg2,RPL15,273,-1.567,7.988795951648241e-23,8.708716517058402e-22,Unassigned
RPL15_sg3,RPL15,46,-2.9155,5.0130767688596275e-25,5.766576037798651e-24,Unassigned
RPL15_sg4,RPL15,37,-1.7126,2.981558884513052e-08,1.9302280219117729e-07,Unassigned
RPL16_sg1,RPL16,101,-2.2353,1.865481094394079e-26,2.2225747748936603e-25,Ribosome
RPL16_sg2,RPL16,168,-2.5093,2.3365652241237594e-44,4.080148819773736e-43,Unassigned
RPL16_sg3,RPL16,180,-2.9997,5.9291229223503034e-65,1.5360422078627728e-63,Unassigned
RPL16_sg4,RPL16,235,-2.0726,2.9100252540340408e-36,4.2092940029421995e-35,Ribosome
RPL17_sg1,RPL17,28,-3.1463,1.7989942935780516e-19,1.809853414062426e-18,Ribosome
RPL17_sg2,RPL17,129,-3.4668,2.199281164784716e-71,6.356303944464498e-70,Ribosome
RPL17_sg3,RPL17,701,-3.4735,1.726310532264364e-142,1.749639052970639e-140,Unassigned
RPL17_sg4,RPL17,43,-4.703,4.228602951645971e-59,9.625044654732863e-58,Unassigned
RPL18_sg1,RPL18,194,-2.3818,3.248992399089747e-43,5.5317691244433825e-42,Unassigned
RPL18_sg2,RPL18,512,-1.6446,6.996360428778604e-31,9.230026950895256e-30,Ribosome
RPL18_sg3,RPL18,102,-2.213,3.995704803887967e-26,4.715623293337491e-25,Unassigned
RPL18_sg4,RPL18,551,-1.4994,1.870120738686566e-26,2.2263342127221023e-25,Ribosome
RPL19_sg1,RPL19,34,-3.3558,1.1278577144349736e-25,1.313498891034519e-24,Unassigned
RPL19_sg2,RPL19,1252,-3.3956,2.5907041186879887e-151,3.133916272606438e-149,Unassigned
RPL19_sg3,RPL19,572,-3.136,6.932713814069403e-111,3.8091834143238473e-109,Unassigned
RPL19_sg4,RPL19,359,-3.1063,3.2659333214754725e-94,1.3877903632332035e-92,Ribosome
RPL20_sg1,RPL20,1785,-3.2094,2.5419064554840412e-141,2.4758829111857547e-139,Unassigned
RPL20_sg2,RPL20,202,-3.7067,3.721307026468719e-104,1.885797479629419e-102,Unassigned
RPL20_sg3,RPL20,131,-3.9747,4.155643948160614e-94,1.7608660797290735e-92,Ribosome
RPL20_sg4,RPL20,2588,-3.1775,3.8450340286871586e-143,3.9776214089867156e-141,Unassigned
RPL20_sg5,RPL20,5225,-3.1018,9.55187860583227e-142,9.426195992597635e-140,Ribosome
RPL21_sg1,RPL21,117,-1.5408,1.362606436523363e-14,1.2072709124542493e-13,Ribosome
RPL21_sg2,RPL21,278,-2.1684,1.7155683469572622e-42,2.875254212777534e-41,Ribosome
RPL21_sg3,RPL21,1584,-2.0447,9.508392783287196e-58,2.106733999251225e-56,Ribosome
RPL21_sg4,RPL21,294,-2.0367,1.497957324525455e-38,2.311662537847924e-37,Ribosome
RPL21_sg5,RPL21,806,-2.2818,1.9153416443210306e-64,4.877780078916037e-63,Unassigned
RPL21_sg6,RPL21,1065,-2.7978,7.055986016659946e-101,3.328295290877333e-99,Unassigned
RPL22_sg1,RPL22,142,-2.7437,5.295886430280071e-48,9.917390318876537e-47,Unassigned
RPL22_sg2,RPL22,619,-2.5771,4.982443820431858e-77,1.6141826632068656e-75,Ribosome
RPL22_sg3,RPL22,327,-2.9539,1.7473893356799885e-82,6.19641608397159e-81,Unassigned
RPL22_sg4,RPL22,53,-2.5753,4.256439934487924e-22,4.566995637862579e-21,Unassigned
RPL22_sg5,RPL22,75,-2.9505,1.1161511055607733e-36,1.6333918617962536e-35,Unassigned
RPL23_sg1,RPL23,124,-1.7593,3.3884896370999195e-19,3.3862321490005858e-18,Ribosome
RPL23_sg2,RPL23,1330,-1.2563,2.143077800600582e-22,2.3126738855401966e-21,Unassigned
RPL23_sg3,RPL23,1397,-1.984,1.142729904085908e-53,2.3416596395203033e-52,Unassigned
RPL23_sg4,RPL23,1017,-2.234,1.6134468106062737e-64,4.1229475569155206e-63,Unassigned
RPL24_sg1,RPL24,639,-3.2113,1.8132593213745563e-119,1.167334327065165e-117,Ribosome
RPL24_sg2,RPL24,614,-3.3181,3.6144637600166356e-126,2.619176637693214e-124,Unassigned
RPL24_sg3,RPL24,501,-3.429,1.9309576843793797e-127,1.4482182632845348e-125,Unassigned
RPL24_sg4,RPL24,609,-3.1997,3.173133562065597e-117,1.9270041874892288e-115,Ribosome
RPL24_sg5,RPL24,674,-2.9004,4.688884118741316e-99,2.1377891118881382e-97,Unassigned
RPL25_sg1,RPL25,40,-3.0546,1.6772409470366323e-24,1.9132026011824704e-23,Unassigned
RPL25_sg2,RPL25,101,-3.7591,1.1821000454914162e-71,3.456432881553849e-70,Unassigned
RPL25_sg3,RPL25,71,-3.4977,6.939336529909419e-49,1.315929809717336e-47,Unassigned
RPL25_sg4,RPL25,1738,-2.9,1.9675200318227953e-115,1.1528437686461691e-113,Ribosome
RPL25_sg5,RPL25,3949,-3.5947,2.2199822737787224e-187,5.1230360164124365e-185,Unassigned
RPL25_sg6,RPL25,13,-2.943,2.784955355492307e-09,1.972347985476138e-08,Unassigned
RPL26_sg1,RPL26,3454,-3.2438,6.8389355451225795e-152,8.340165298929974e-150,Unassigned
RPL26_sg2,RPL26,376,-4.2657,7.649972855333047e-179,1.399385278414582e-176,Unassigned
RPL26_sg3,RPL26,1509,-3.5981,8.113924077899076e-174,1.4318689549233664e-171,Unassigned
RPL26_sg4,RPL26,706,-3.3389,5.0612426043295784e-132,4.171353794777125e-130,Unassigned
RPL27_sg1,RPL27,2866,-4.6935,1e-300,1.153846153846154e-297,Unassigned
RPL27_sg2,RPL27,452,-4.0156,1.0273538806973617e-168,1.6221377063642554e-166,Ribosome
RPL27_sg3,RPL27,43,-4.1384,3.63445483597613e-46,6.552502709091579e-45,Unassigned
RPL27_sg4,RPL27,282,-3.7183,4.216243833227648e-122,2.8488134008294918e-120,Ribosome
RPL28_sg1,RPL28,716,-3.0637,8.102043984911763e-112,4.4680389622675164e-110,Unassigned
RPL28_sg2,RPL28,239,-2.6986,1.030187521090432e-60,2.4145020025557e-59,Unassigned
RPL28_sg3,RPL28,886,-3.2826,8.990429449971686e-134,7.706082385690017e-132,Unassigned
RPL28_sg4,RPL28,299,-3.9245,4.210423279394016e-139,3.922754608131071e-137,Unassigned
RPL28_sg5,RPL28,135,-3.6632,1.1220703172789462e-81,3.9416990068347055e-80,Unassigned
RPL28_sg6,RPL28,65,-3.2306,2.2631813923850395e-39,3.5659370678335706e-38,Unassigned
RPL29_sg1,RPL29,184,-2.1243,7.95116382935756e-34,1.097216719782552e-32,Unassigned
RPL29_sg2,RPL29,449,-2.4561,3.426626892665202e-64,8.667690284987863e-63,Unassigned
RPL29_sg3,RPL29,17,-1.0943,0.01225182845612201,0.031767921666694926,Unassigned
RPL29_sg4,RPL29,103,-2.5539,1.8683584542039708e-34,2.6143075385316753e-33,Unassigned
RPL29_sg5,RPL29,17,-2.59,3.062602943530996e-09,2.1617976282223647e-08,Unassigned
RPL30_sg1,RPL30,131,-2.4416,1.2369774027720907e-36,1.8066855931432678e-35,Unassigned
RPL30_sg2,RPL30,1990,-3.499,2.141318708087996e-169,3.529646222123071e-167,Unassigned
RPL30_sg3,RPL30,56,-2.5475,1.494227463012067e-22,1.618296891348809e-21,Unassigned
RPL30_sg4,RPL30,948,-2.1376,1.596098248990093e-58,3.605643634766776e-57,Ribosome
RPL30_sg5,RPL30,23700,-3.0244,5.882383419681374e-139,5.446651314519791e-137,Unassigned
RPL31_sg1,RPL31,2923,-3.0261,4.0931391416781435e-131,3.3367982133245734e-129,Unassigned
RPL31_sg2,RPL31,404,-3.5424,4.710683897499853e-127,3.498032597153356e-125,Unassigned
RPL31_sg3,RPL31,1197,-3.2414,3.611486976960565e-137,3.2438505781082916e-135,Ribosome
RPL31_sg4,RPL31,42,-3.9262,5.911134992405253e-41,9.595998364294243e-40,Ribosome
RPL31_sg5,RPL31,31,-3.19,1.0968299291258153e-21,1.1651876017625516e-20,Unassigned
RPL32_sg1,RPL32,345,-4.1896,2.7053051721692606e-167,4.1407732227080523e-165,Unassigned
RPL32_sg2,RPL32,601,-3.2404,8.952618076283615e-120,5.838663962793662e-118,Unassigned
RPL32_sg3,RPL32,1705,-4.0596,8.599165782428309e-224,3.7937496098948424e-221,Unassigned
RPL32_sg4,RPL32,141,-3.8432,4.917004070562497e-92,1.99878214250508e-90,Unassigned
RPL32_sg5,RPL32,441,-3.7279,1.473955837904153e-144,1.590599825076424e-142,Unassigned
RPL33_sg1,RPL33,419,-3.7546,3.2354436800062835e-144,3.4665468000067325e-142,Unassigned
RPL33_sg2,RPL33,271,-2.9413,7.549706226618135e-76,2.3891475400690303e-74,Ribosome
RPL33_sg3,RPL33,296,-2.9803,1.028566435972554e-80,3.571411236015812e-79,Unassigned
RPL33_sg4,RPL33,92,-2.3555,1.712895724145094e-27,2.09742333568787e-26,Ribosome
RPL33_sg5,RPL33,502,-3.2631,1.1699958302984952e-115,6.9642608946339e-114,Unassigned
RPL33_sg6,RPL33,443,-3.5198,2.850595688924087e-129,2.2623775308921327e-127,Ribosome
RPL34_sg1,RPL34,171,-2.3108,3.085299436291383e-38,4.727220791049105e-37,Ribosome
RPL34_sg2,RPL34,897,-1.9264,2.1287590557556888e-47,3.922774672768468e-46,Unassigned
RPL34_sg3,RPL34,1543,-2.8239,4.0827635149368084e-108,2.14882290259832e-106,Unassigned
RPL34_sg4,RPL34,912,-3.0669,1.1929920272112545e-117,7.364148316118856e-116,Unassigned
RPL34_sg5,RPL34,69,-2.713,1.703113603190048e-29,2.161311679175188e-28,Unassigned
RPL35_sg1,RPL35,384,-3.2018,2.236004829810787e-102,1.088963391141617e-100,Ribosome
RPL35_sg2,RPL35,84,-2.5271,1.4937403497733329e-29,1.898822478525423e-28,Unassigned
RPL35_sg3,RPL35,382,-3.2418,1.0327771960291217e-104,5.28725526977366e-103,Unassigned
RPL35_sg4,RPL35,85,-2.0091,2.0150244172469512e-19,2.024471953027747e-18,Ribosome
RPL35_sg5,RPL35,2243,-2.909,5.946248958580133e-119,3.7634487079621094e-117,Ribosome
RPL36_sg1,RPL36,1070,-2.6347,9.48287944280304e-90,3.713921452794924e-88,Unassigned
RPL36_sg2,RPL36,1862,-4.0718,3.467282111628838e-227,1.6777171507881476e-224,Unassigned
RPL36_sg3,RPL36,1600,-3.4931,4.58851205782778e-165,6.682299113341427e-163,Ribosome
RPL36_sg4,RPL36,220,-2.4032,1.0243186459002604e-46,1.8556497208338048e-45,Ribosome
RPL36_sg5,RPL36,174,-3.2086,9.85196585167015e-73,2.949690374751542e-71,Ribosome
RPL36_sg6,RPL36,4503,-3.8096,1.699062754574831e-211,5.663542515249436e-209,Ribosome
RPL37_sg1,RPL37,258,-3.7155,2.3163598149466562e-117,1.418179478538769e-115,Unassigned
RPL37_sg2,RPL37,43,-3.9107,2.058177069940393e-41,3.388875526795378e-40,Unassigned
RPL37_sg3,RPL37,1497,-3.7551,6.002330730696209e-189,1.5005826826740524e-186,Unassigned
RPL37_sg4,RPL37,410,-3.8084,2.90434923997544e-147,3.275581849596361e-145,Ribosome
RPL37_sg5,RPL37,3162,-3.608,1.838651791155263e-186,3.9970691112070937e-184,Unassigned
RPL37_sg6,RPL37,476,-3.7107,1.163182089690413e-146,1.302069503384791e-144,Ribosome
RPL38_sg1,RPL38,321,-2.241,6.507649348790244e-48,1.2156256566856e-46,Unassigned
RPL38_sg2,RPL38,3259,-2.5246,1.8002904952815188e-92,7.418779513522742e-91,Unassigned
RPL38_sg3,RPL38,33,-2.6249,6.033556289722304e-16,5.5591734856163734e-15,Unassigned
RPL38_sg4,RPL38,137,-2.351,5.50734101703589e-35,7.800766313081997e-34,Unassigned
RPL38_sg5,RPL38,87,-2.2366,4.700444734544342e-24,5.301253460012416e-23,Unassigned
RPL39_sg1,RPL39,12,-4.7293,3.664955617766628e-20,3.7473983821744664e-19,Unassigned
RPL39_sg2,RPL39,1224,-5.3888,1e-300,1.153846153846154e-297,Unassigned
RPL39_sg3,RPL39,143,-5.5786,2.600170219814116e-193,6.964741660216382e-191,Ribosome
RPL39_sg4,RPL39,1284,-5.7993,1e-300,1.153846153846154e-297,Unassigned
RPL39_sg5,RPL39,592,-5.5714,1e-300,1.153846153846154e-297,Unassigned
RPL39_sg6,RPL39,821,-5.7414,1e-300,1.153846153846154e-297,Unassigned
RPL40_sg1,RPL40,167,-3.9167,4.2962842240506114e-105,2.214579496933305e-103,Ribosome
RPL40_sg2,RPL40,105,-2.9569,3.661250274771213e-46,6.592887649648043e-45,Unassigned
RPL40_sg3,RPL40,378,-2.8962,1.1639664015135962e-83,4.1969942362269094e-82,Unassigned
RPL40_sg4,RPL40,1311,-3.1911,1.0120274614455585e-134,8.87743387232946e-133,Ribosome
RPS1_sg1,RPS1,306,-0.8226,1.2407940476706369e-07,7.596698251044716e-07,Unassigned
RPS1_sg2,RPS1,115,-1.9723,1.1051002813456582e-22,1.201195957984411e-21,Unassigned
RPS1_sg3,RPS1,55,-0.9638,0.0002419783078618387,0.000955428959707181,Unassigned
RPS1_sg4,RPS1,449,-1.4782,2.411627849480489e-24,2.7384116383200104e-23,Unassigned
RPS1_sg5,RPS1,144,-0.555,0.0031110090695528007,0.009504791787693262,Unassigned
RPS1_sg6,RPS1,297,-1.2561,1.0198579108248854e-15,9.345063324601883e-15,Ribosome
RPS2_sg1,RPS2,231,-4.7355,4.401002153760343e-180,8.463465680308352e-178,Unassigned
RPS2_sg2,RPS2,170,-3.8288,1.7250428523238876e-101,8.240650568426214e-100,Unassigned
RPS2_sg3,RPS2,513,-3.6216,6.79078736259986e-143,6.976836331438212e-141,Ribosome
RPS3_sg1,RPS3,759,-3.7972,7.098912912298832e-173,1.2100419736873007e-170,Ribosome
RPS3_sg2,RPS3,6298,-3.1411,2.9525268417551155e-146,3.2805853797279065e-144,Unassigned
RPS3_sg3,RPS3,1030,-3.043,2.4777540959249176e-118,1.5550757924214965e-116,Unassigned
RPS3_sg4,RPS3,3607,-3.2793,1.4634406592538847e-155,1.8762059734024162e-153,Ribosome
RPS3_sg5,RPS3,97,-3.8128,1.0098871968395857e-71,2.9644438263392925e-70,Unassigned
RPS4_sg1,RPS4,30,-3.3151,1.1110575905136736e-22,1.206796803599211e-21,Unassigned
RPS4_sg2,RPS4,323,-3.4877,1.0870761161407451e-113,6.20005389433885e-112,Unassigned
RPS4_sg3,RPS4,1196,-2.7303,7.016937622008615e-98,3.1140255718973146e-96,Unassigned
RPS4_sg4,RPS4,946,-3.1768,6.35402046070953e-127,4.6720738681687716e-125,Unassigned
RPS4_sg5,RPS4,2033,-3.3755,4.252616482343124e-158,5.746779030193411e-156,Unassigned
RPS4_sg6,RPS4,10,-4.3916,4.792481484246728e-15,4.3020480109934714e-14,Unassigned
RPS5_sg1,RPS5,2163,-3.2687,3.347687906176696e-149,3.9230717650508156e-147,Ribosome
RPS5_sg2,RPS5,546,-3.3889,1.4679584389005173e-127,1.1065013358546613e-125,Unassigned
RPS5_sg3,RPS5,33,-3.4282,4.372417958409621e-26,5.148058820733462e-25,Unassigned
RPS5_sg4,RPS5,978,-3.2538,7.916304861056751e-134,6.824400742290302e-132,Unassigned
RPS5_sg5,RPS5,426,-3.6909,3.456309043055156e-140,3.2606689085426e-138,Unassigned
RPS5_sg6,RPS5,585,-4.3947,4.430956987279438e-217,1.6616088702297892e-214,Unassigned
RPS6_sg1,RPS6,1478,-2.1117,5.581590717942256e-61,1.3184859963643123e-59,Unassigned
RPS6_sg2,RPS6,630,-2.4421,1.1727775558943006e-69,3.3067036350403215e-68,Unassigned
RPS6_sg3,RPS6,36,-2.5148,8.677290294757352e-16,7.960816784181057e-15,Unassigned
RPS6_sg4,RPS6,267,-2.6389,4.978655864553763e-61,1.1797762712212708e-59,Unassigned
RPS6_sg5,RPS6,29,-2.1833,2.0198277338549153e-10,1.523248668065547e-09,Unassigned
RPS6_sg6,RPS6,874,-2.2597,3.106104459626488e-64,7.870197110540088e-63,Unassigned
RPS7_sg1,RPS7,2689,-3.1791,1.1105016723666181e-143,1.1730651468661458e-141,Ribosome
RPS7_sg2,RPS7,51,-2.685,3.3215249288931644e-23,3.668841968585969e-22,Ribosome
RPS7_sg3,RPS7,121,-3.2925,4.150937285563674e-62,1.012423728186262e-60,Unassigned
RPS7_sg4,RPS7,88,-2.8255,1.0998522573780131e-37,1.654742613908746e-36,Ribosome
RPS7_sg5,RPS7,167,-3.1213,1.9746099963480967e-67,5.385299990040263e-66,Unassigned
RPS8_sg1,RPS8,613,-2.9166,6.949130758889518e-98,3.0930849075175896e-96,Unassigned
RPS8_sg2,RPS8,170,-3.3906,5.350983424538846e-80,1.8118454033427245e-78,Unassigned
RPS8_sg3,RPS8,879,-3.3541,2.266359460555855e-139,2.124711994271114e-137,Ribosome
RPS8_sg4,RPS8,1633,-3.5779,1.774765434598469e-173,3.0955211068577946e-171,Unassigned
RPS9_sg1,RPS9,1724,-2.9001,2.4569939606900747e-115,1.4340431677179425e-113,Unassigned
RPS9_sg2,RPS9,62,-2.3551,5.506602495246721e-21,5.752022105062731e-20,Unassigned
RPS9_sg3,RPS9,2641,-3.2252,1.26803727570422e-147,1.4519510790506338e-145,Ribosome
RPS9_sg4,RPS9,2978,-2.7554,3.592497427312895e-109,1.9245521932033366e-107,Unassigned
RPS9_sg5,RPS9,3391,-2.3823,9.646180242928383e-83,3.4532864831485855e-81,Ribosome
RPS10_sg1,RPS10,261,-2.9672,6.329618445056164e-76,2.0115312855051367e-74,Ribosome
RPS10_sg2,RPS10,107,-3.373,2.9665032139008256e-60,6.877519043046737e-59,Unassigned
RPS10_sg3,RPS10,75,-3.8136,4.2961642966887987e-60,9.944824760853701e-59,Unassigned
RPS10_sg4,RPS10,63,-3.3071,3.0482397055219452e-40,4.9007069220610055e-39,Unassigned
RPS10_sg5,RPS10,336,-2.9861,4.054117420075751e-85,1.490484345616085e-83,Ribosome
RPS10_sg6,RPS10,1178,-3.2942,2.790056847539905e-141,2.700055013748295e-139,Unassigned
RPS11_sg1,RPS11,2345,-1.0198,3.805219231278481e-16,3.5277063330764658e-15,Unassigned
RPS11_sg2,RPS11,159,-1.1016,1.54522456827711e-09,1.1122057833088603e-08,Unassigned
RPS11_sg3,RPS11,312,-1.1175,5.548750124535224e-13,4.654991715214114e-12,Ribosome
RPS11_sg4,RPS11,283,-1.1488,3.707115709663569e-13,3.1310098899185545e-12,Unassigned
RPS12_sg1,RPS12,127,-2.827,1.2443982806274774e-47,2.315877693475454e-46,Unassigned
RPS12_sg2,RPS12,996,-3.6141,3.7145302757303454e-165,5.462544523132861e-163,Unassigned
RPS12_sg3,RPS12,569,-3.1664,7.561449685964793e-113,4.263975386822251e-111,Unassigned
RPS12_sg4,RPS12,409,-2.5102,5.214250308960377e-65,1.3555243437505314e-63,Unassigned
RPS12_sg5,RPS12,565,-2.3486,8.02641418498349e-63,1.9900200458636753e-61,Unassigned
RPS12_sg6,RPS12,831,-2.8645,4.3937750057299544e-101,2.0856526925933328e-99,Unassigned
RPS13_sg1,RPS13,819,-2.8955,6.027147546445509e-103,2.964170924481398e-101,Unassigned
RPS13_sg2,RPS13,94,-3.1081,2.8084416302219344e-47,5.1562575830268075e-46,Unassigned
RPS13_sg3,RPS13,1267,-3.361,1.578145600720576e-148,1.8209372316006648e-146,Unassigned
RPS13_sg4,RPS13,484,-3.0393,1.5764770477081766e-99,7.298504850500818e-98,Ribosome
RPS13_sg5,RPS13,172,-2.7617,4.9912223998587195e-54,1.031244297491471e-52,Unassigned
RPS14_sg1,RPS14,469,-4.2106,2.0872724901210828e-187,4.892044898721288e-185,Unassigned
RPS14_sg2,RPS14,554,-4.119,3.2253342482400834e-188,7.803228019935686e-186,Ribosome
RPS14_sg3,RPS14,1674,-4.0153,1.5484892837207219e-218,6.112457698897586e-216,Unassigned
RPS14_sg4,RPS14,69,-4.3507,4.238065187962628e-73,1.276525659024888e-71,Unassigned
RPS14_sg5,RPS14,2410,-4.3197,2.3178303817165623e-261,1.7383727862874218e-258,Unassigned
RPS14_sg6,RPS14,342,-4.7373,1.2510645704945526e-212,4.364178734283323e-210,Unassigned
RPS15_sg1,RPS15,155,-2.5977,2.1770460044244853e-45,3.850906847448972e-44,Unassigned
RPS15_sg2,RPS15,148,-3.8508,5.124851750072315e-95,2.1901075855009892e-93,Unassigned
RPS15_sg3,RPS15,74,-3.6265,5.39185128488476e-54,1.1124865099487126e-52,Unassigned
